:START_ID,:END_ID,:TYPE
b0_c0_4,b7_c3_2,发病部位
b0_c0_4,b7_c37_1136,组成部分
b0_c0_4,b7_c21_119,发病部位
b0_c0_4,b0_c1_263,发病部位
b0_c0_4,b1_c1_339,发病部位
b0_c0_4,b2_c84_34,发病部位
b0_c0_37,b0_c0_38,病因
b0_c0_37,b0_c0_44,病因
b0_c0_37,b0_c0_50,症状和体征
b0_c0_37,b0_c0_51,症状和体征
b0_c0_38,b0_c0_41,病因
b0_c0_38,b0_c0_53,症状和体征
b0_c0_38,b0_c0_40,症状和体征
b0_c0_54,b0_c0_94,病因
b0_c0_54,b0_c0_102,发病部位
b0_c0_54,b0_c1_6,并发症
b0_c0_54,b0_c3_375,症状和体征
b0_c0_54,b0_c3_23,症状和体征
b0_c0_54,b0_c23_19,病理类型
b0_c0_54,b0_c23_20,病理类型
b0_c0_54,b0_c9_215,病因
b0_c0_54,b0_c23_23,病因
b0_c0_54,b1_c8_722,并发症
b0_c0_54,b0_c10_746,药物治疗
b0_c0_54,b0_c2_590,发病部位
b0_c0_54,b0_c0_177,发病部位
b0_c0_54,b0_c9_50,并发症
b0_c0_54,b2_c3_31,发病部位
b0_c0_54,b0_c3_726,发病部位
b0_c0_54,b0_c8_872,症状和体征
b0_c0_54,b2_c54_373,症状和体征
b0_c0_54,b2_c54_374,症状和体征
b0_c0_54,b2_c54_375,症状和体征
b0_c0_54,b2_c74_382,症状和体征
b0_c0_54,b2_c54_376,症状和体征
b0_c0_54,b1_c2_1427,症状和体征
b0_c0_54,b2_c54_380,症状和体征
b0_c0_54,b2_c3_1109,症状和体征
b0_c0_54,b2_c42_234,症状和体征
b0_c0_54,b0_c3_590,症状和体征
b0_c0_54,b0_c3_1198,诊断方案
b0_c0_54,b0_c4_1019,诊断方案
b0_c0_54,b0_c22_731,预后情况
b0_c0_58,b0_c0_60,病因
b0_c0_58,b0_c0_59,并发症
b0_c0_58,b0_c5_223,病因
b0_c0_58,b0_c20_102,别名
b0_c0_58,b0_c14_545,病理类型
b0_c0_58,b0_c14_546,病理类型
b0_c0_58,b1_c10_484,病因
b0_c0_58,b1_c10_501,并发症
b0_c0_58,b0_c20_101,并发症
b0_c0_58,b0_c14_544,并发症
b0_c0_58,b1_c10_889,基础治疗
b0_c0_58,b0_c14_381,病因
b0_c0_58,b1_c10_1030,症状和体征
b0_c0_58,b1_c5_119,症状和体征
b0_c0_58,b0_c4_98,症状和体征
b0_c0_58,b1_c10_1038,症状和体征
b0_c0_58,b1_c3_444,症状和体征
b0_c0_58,b1_c6_1595,治疗方案
b0_c0_58,b1_c10_754,基础治疗
b0_c0_58,b1_c7_1099,并发症
b0_c0_58,b1_c9_1985,诊断方案
b0_c0_58,b1_c10_1958,病因
b0_c0_58,b0_c0_295,多发人群
b0_c0_58,b0_c20_549,症状和体征
b0_c0_58,b1_c10_2563,症状和体征
b0_c0_58,b3_c1_243,症状和体征
b0_c0_58,b1_c10_1006,症状和体征
b0_c0_58,b3_c1_245,症状和体征
b0_c0_58,b3_c1_246,症状和体征
b0_c0_58,b1_c10_1714,症状和体征
b0_c0_58,b2_c46_167,症状和体征
b0_c0_58,b0_c4_454,症状和体征
b0_c0_58,b0_c18_1210,症状和体征
b0_c0_58,b2_c109_147,症状和体征
b0_c0_58,b3_c1_386,病因
b0_c0_58,b3_c5_400,发病部位
b0_c0_58,b6_c6_848,并发症
b0_c0_58,b7_c29_182,病因
b0_c0_58,b7_c29_183,病因
b0_c0_58,b0_c3_529,并发症
b0_c0_59,b0_c0_60,病因
b0_c0_59,b0_c20_91,病理类型
b0_c0_59,b0_c14_543,病理类型
b0_c0_59,b1_c9_2704,病因
b0_c0_59,b6_c13_67,并发症
b0_c0_59,b0_c10_1032,并发症
b0_c0_59,b0_c3_529,并发症
b0_c0_60,b0_c0_58,并发症
b0_c0_60,b0_c11_1296,组成部分
b0_c0_60,b0_c11_1297,组成部分
b0_c0_60,b0_c14_144,别名
b0_c0_60,b0_c14_145,病因
b0_c0_60,b0_c14_327,别名
b0_c0_60,b0_c14_334,病因
b0_c0_60,b0_c14_335,病因
