id:ID,name,:LABEL
1,念珠菌性眼内炎,疾病
2,真菌性眼内炎,疾病
3,二性霉素 B 1mg（溶于5%葡萄糖中）静脉滴注（半小时内滴完）,治疗方案
4,二性霉素 B 0.7mg/kg（溶于500ml、5%葡萄糖中）缓慢滴注（2~6小时）,治疗方案
5,二性霉素 B 0.7~1mg/kg 缓慢静脉滴注,治疗方案
6,二性霉素 B 5~10μg 缓缓注射至玻璃体腔中央,治疗方案
7,5-氟胞嘧啶 50~100mg/(kg·d)，分4次口服,治疗方案
8,唑嘧菌生物如咪康唑、酮康唑、伊曲康唑和氟康唑,治疗方案
9,玻璃体切除手术联合玻璃体内二性霉素 B 注射,治疗方案
10,念珠菌属感染,病因
11,局灶性脉络膜视网膜炎,阶段
12,明显的眼内炎,阶段
13,眼内,发病部位
14,玻璃体,发病部位
15,感染性,病因类型
16,成人,适用人群
17,新生儿,适用人群
18,1mg（溶于5%葡萄糖中）,用药剂量
19,0.7mg/kg（溶于500ml、5%葡萄糖中）,用药剂量
20,0.7~1mg/kg,用药剂量
21,5~10μg,用药剂量
22,50~100mg/(kg·d)，分4次口服,用药剂量
23,不超过 0.5mg/(kg·d),用药剂量
24,曲霉菌引起的眼内感染,疾病
25,使用抗真菌药物,治疗方案
26,减少或中止免疫抑制剂的应用，尽可能纠正患者的免疫状态,治疗方案
27,静脉注射二性霉素B联合5-氟胞嘧啶口服,治疗方案
28,二性霉素B玻璃体内注射,治疗方案
29,酮康唑,治疗方案
30,伊曲康唑,治疗方案
31,玻璃体切除术并联合二性霉素B玻璃体内注射,治疗方案
32,眼球摘除,治疗方案
33,曲霉菌感染,病因
34,严重炎症,阶段
35,无恢复视力希望,阶段
36,静脉注射二性霉素B,用药剂量
37,5-氟胞嘧啶口服,用药剂量
38,隐球菌性眼内感染,疾病
39,二性霉素 B 静脉滴注,治疗方案
40,玻璃体切除术,治疗方案
41,二性霉素 B 玻璃体内注射和 5-氟胞嘧啶口服联合治疗,治疗方案
42,口服氟康唑,治疗方案
43,咪唑类静脉注射,治疗方案
44,眼球摘除术,治疗方案
45,新型隐球菌感染,病因
46,严重眼内炎,阶段
47,免疫缺陷综合征患者,适用人群
48,分枝孢菌属所引起的眼内感染,疾病
49,泡和的碘化钾溶液治疗,治疗方案
50,静脉注射二性霉素B治疗,治疗方案
51,伊曲康唑治疗,治疗方案
52,睫状体平坦部玻璃体切除术和二性霉素B玻璃体内注射,治疗方案
53,分枝孢菌属感染,病因
54,皮肤,发病部位
55,全身（播散性）,发病部位
56,皮炎芽生菌引起的眼内感染,疾病
57,二性霉素B静脉途径给药,治疗方案
58,酮康唑 400mg/d口服，治疗6个月,治疗方案
59,咪康唑 静脉注射,治疗方案
60,伊曲康唑 口服,治疗方案
61,皮炎芽生菌感染,病因
62,严重感染,阶段
63,未特别说明,适用人群
64,400mg/d,用药剂量
65,每3～5周重复注射一次,用药剂量
66,伪霉样真菌属引起的眼内感染,疾病
67,玻璃体切除联合玻璃体内和静脉内二性霉素B注射,治疗方案
68,玻璃体切除、静脉和玻璃体内注射咪康唑,治疗方案
69,伪霉样真菌属感染,病因
70,二性霉素B,用药剂量
71,5-氟胞嘧啶,用药剂量
72,咪康唑,用药剂量
73,荚膜组织孢浆菌感染,疾病
74,播散性组织泡浆菌病,疾病
75,拟眼组织泡浆菌病综合征,疾病
76,中心凹视网膜下新生血管膜,疾病
77,活动性脉络膜病变,疾病
78,脉络膜新生血管,疾病
79,二性霉素 B,治疗方案
80,大剂量二性霉素 B（1~2.5g）,治疗方案
81,酮康唑（终生使用）,治疗方案
82,长期的间断性的二性霉素 B 治疗,治疗方案
83,口服泼尼松治疗,治疗方案
84,口服或后Tendon胫下注射糖皮质激素,治疗方案
85,激光光凝治疗,治疗方案
86,荚膜组织孢浆菌,病因
87,视网膜,发病部位
88,脉络膜,发病部位
89,二性霉素 B（1~2.5g）,用药剂量
90,口服泼尼松,用药剂量
91,糖皮质激素,用药剂量
92,HTLV－Ⅰ所致的葡萄膜炎,疾病
93,HTLV－Ⅰ脊髓病,疾病
94,成人T细胞白血病,疾病
95,非甾体消炎药、糖皮质激素和睫状肌麻痹剂点眼治疗,治疗方案
96,糖皮质激素后Tenon膜下注射治疗,治疗方案
97,口服糖皮质激素，一般选用泼尼松，剂量为0.5～1mg/(kg·d)，并应随着炎症的控制而逐渐减量,治疗方案
98,HTLV－Ⅰ感染,病因
99,轻度,阶段
100,明显玻璃体炎症,阶段
101,严重玻璃体炎症反应和视网膜血管炎,阶段
102,前葡萄膜,发病部位
103,患者,适用人群
104,泼尼松 0.5～1mg/(kg·d),用药剂量
105,眼弓蛔虫病,疾病
106,噻苯哒唑 50mg/(kg·d)，连用 7 天,治疗方案
107,阿苯哒唑 800mg，一日两次，连用 6 天,治疗方案
108,甲苯咪唑 100~200mg，一日两次，连用 5 天,治疗方案
109,泼尼松口服 0.5~1mg/(kg·d),治疗方案
110,糖皮质激素局部应用（后 Tenon 膜下注射）,治疗方案
111,糖皮质激素全身应用（多选择口服泼尼松）,治疗方案
112,糖皮质激素治疗为主,治疗方案
113,联合抗蠕虫药物治疗,治疗方案
114,糖皮质激素、非甾体消炎药和睫状肌麻痹剂滴眼剂点眼治疗,治疗方案
115,活的幼虫,病因
116,死的幼虫,病因
117,有眼前段炎症,阶段
118,眼部,发病部位
119,噻苯哒唑 50mg/(kg·d),用药剂量
120,阿苯哒唑 800mg，一日两次,用药剂量
